"code_rome","libelle_rome","code_grand_domaine","libelle_grand_domaine","code_domaine_professionel","libelle_domaine_professionel"
"A1101","Conducteur / Conductrice d'engins agricoles","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A11","Engins agricoles et forestiers"
"A1102","Conducteur / Conductrice d'engins d'exploitation forestière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A11","Engins agricoles et forestiers"
"A1201","Bûcheron / Bûcheronne","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1202","Agent / Agente d'entretien des espaces naturels","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1203","Agent / Agente d'entretien des espaces verts","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1204","Garde de parc naturel","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1205","Sylviculteur / Sylvicultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1206","Concepteur / Conceptrice paysagiste","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1207","Chef / Cheffe d'équipe d'entretien d'espaces naturels","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1208","Jardinier / Jardinière paysagiste","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1209","Elagueur / Elagueuse","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1210","Ouvrier forestier / Ouvrière forestière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1211","Chef / Cheffe d'équipe paysagiste","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1212","Chef / Cheffe d'équipe de travaux forestiers","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1213","Conducteur / Conductrice de travaux forestiers","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1214","Patrouilleur modeleur / Patrouilleuse modeleuse VTT","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1301","Technicien / Technicienne de culture maraîchère","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1302","Technicien / Technicienne agricole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1303","Ingénieur / Ingénieure d'études et de recherche agricoles","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1304","Conseiller / Conseillère technique agricole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1305","Technicien / Technicienne des services vétérinaires","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1306","Chargé / Chargée de mission biodiversité","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1307","Ingénieur forestier / Ingénieure forestière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1308","Technicien / Technicienne de l'insémination animale","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1309","Technicien / Technicienne d'élevage équin","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1310","Technicien / Technicienne de production animale","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1311","Technicien forestier / Technicienne forestière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1312","Directeur / Directrice environnement","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1313","Chargé / Chargée de mission environnement","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1401","Cueilleur / Cueilleuse de fruits","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1402","Aide agricole en production végétale","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1403","Aide d'élevage agricole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1404","Aquaculteur / Aquacultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1405","Arboriculteur / Arboricultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1406","Capitaine de pêche","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1407","Eleveur / Eleveuse de bovins","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1408","Eleveur / Eleveuse d'animaux sauvages","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1409","Aviculteur / Avicultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1410","Eleveur / Eleveuse d'ovins","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1411","Eleveur / Eleveuse de porcins","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1412","Fromager-affineur / Fromagère-affineuse","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1413","Brasseur / Brasseuse de bière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1414","Horticulteur / Horticultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1415","Marin-pêcheur","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1416","Exploitant / Exploitante agricole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1417","Saliculteur / Salicultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1418","Viticulteur / Viticultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1419","Ouvrier agricole polyvalent / Ouvrière agricole polyvalente","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1420","Chef / Cheffe de culture responsable d'unité de production agricole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1421","Palefrenier soigneur / Palefrenière soigneuse","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1422","Caviste de chai","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1423","Œnologue","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1424","Pisciculteur / Piscicultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1425","Ramendeur / Ramendeuse","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1426","Educateur canin / Educatrice canine","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1427","Goémonier / Goémonière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1428","Algoculteur / Algocultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
